시설물_입지점,연결된_수요지
2,"[87, 90, 91, 92, 93]"
8,"[250, 252, 256, 257, 258, 259, 260, 261, 262, 263, 264, 265, 266, 267, 268, 269, 270, 271, 272, 273, 274, 275, 276, 277, 278, 279, 280, 281, 282, 283, 284, 285, 286, 288]"
16,"[117, 129, 139, 144, 145, 146, 147, 153, 154, 161, 162, 163, 164, 165, 166, 171, 172, 173, 178, 179, 180, 181, 182, 191, 192, 193, 194, 201, 202, 203, 204, 205, 209, 210, 211, 212, 213, 214, 215, 220, 221, 222, 223, 224, 225, 226, 227, 231, 232, 233, 234, 235, 236, 238, 239, 240, 241, 244, 245, 246, 247, 248, 249, 253, 254, 255]"
18,"[174, 175, 183, 184, 186, 195, 206, 207, 216, 217, 228, 229, 230, 237, 242, 243, 251]"
22,"[94, 95, 96, 97, 98, 99, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 130, 131, 132, 133, 134, 135, 136, 137, 140, 141, 142, 143, 148, 149, 150, 151, 152, 155, 156, 157, 158, 159, 160, 167, 168, 169, 170, 176, 177, 185, 187, 188, 189, 190, 196, 197, 198, 199, 200, 208, 218]"
28,"[100, 101, 102, 116, 138, 219]"
31,"[287, 289, 290, 291, 292, 293, 294, 295, 296, 297, 298, 299, 300, 301, 302, 303, 304, 305, 306, 307, 308, 309, 310, 311]"
33,"[74, 80, 81, 83, 86, 88]"
35,"[79, 82, 84, 89]"
37,"[45, 46, 47, 49, 50, 51, 52, 53, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 69, 70, 71, 72, 73, 76]"
40,"[33, 35, 39]"
44,"[26, 27, 28, 30, 36]"
45,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 1]"
46,"[23, 25, 29, 31, 32, 34, 37, 38, 40, 41, 42, 43, 44]"
48,"[48, 54, 68, 75, 77, 78, 85]"
